ZxfmnhEwmLHZ$XPp%c!FhK$Z,Database Systems,1
%VeSNJkP!K!rr$BZ&&AZ,,1
^m@^xbdG@E*#w%eyX%Ex,Algebra,0
N&lVH@%^tf%,,1
rXTqILMbxi^R#@!MR#,,1
vJXxKHT,,1
B%XveOIY%@c^aq#b^a,,1
RxXMuYI,Data Science,1
fU@!fRx%@AM!%jW@@$!!g,Physics,1
!ba&YmrPr,Database Systems,0
@$E^ZKQ@zNlEaUY#BqxM,Database Systems,0
BF#$R^eDmltLnnxWDDz#X&*,Algebra,1
^oSzbrUNC,,1
A@c@h#m*&%Lwf@awK*Lc^@Xr@Q*x@,Computer Science,1
L#RHFawM#kwg^%VJzq,,1
z*LeNO#r@#,,1
S&#V&^LCL%$,Database Systems,0
BvMVC,Computer Science,1
!*$C@V@LJ*zs$tyib!SqdA,Theoretical Physics,1
KZmhi&sx*CT,Theoretical Physics,1
zmSth$&#AGQWb@%uG#QB^^F!fr#*g,Unspecified,0
!%UHN,Unspecified,1
*^s!Ks#CGi@w$AQE%e,,1
mhG&cX&q#kFhesm,Mathematics,1
faEvds!^rPo%FpDh,Complex Analysis,0
j$Wt^Jf&%AFa#T%JsE^A@DWshx!@,Algebra,1
#YgJh,Computer Science,1
&l!rlOsqLq^$x%V^&dG,Theoretical Physics,1
$u*!q^UJjQ@t&*s,Database Systems,0
^^j&fd$%TcdHA$SsZC^BbTAP@h*b,Unspecified,1
^VUo^!&#@aCv,,1
hp@##GofKy!!#@SE@h,,1
jXaLvyNoD!PTvI!@U!#lE$WgUg,Unspecified,0
$!MlKP#*$@GC&wbK^n%&,Algebra,0
!!!b%tBhMoHQ^%,,1
%SQEvdej^$yutVNuZFgN,Database Systems,0
*ckqZNeu@nHyc@&!!k^!HE^Pf,Data Science,1
uWD&voV!nl&#W$uBhai!Bz#y$oaf%F,Database Systems,1
q#^HEsrvHc!Z@ZgpgTGix&^&K^,,1
$tO!&Y$%#k%*qY,Analysis,0
BWjVR%,Theoretical Physics,1
RBYGwIKX^f%e##$I$yPj,Physics,1
wC*^qC#,Database Systems,0
Dm%cFIsFdSGYq,Algebra,1
%#d%M@NK#u@C%ifYfm!&,Analysis,1
*PBapxBB!ViFYvl**&%yW,Physics,0
dV!^*fv^MTX^,Theoretical Physics,1
%*alss^I%mBJ*mppr,Unspecified,1
fThbK^NHT%$^z^lttcrK*&@,Complex Analysis,1
TuFM,Data Science,1
DELETED,Theoretical Physics,0
