Username,Password,Registration_Date,Num_of_Art_Edited,First_Name,Last_Name,Salt
m$#jfX@JDty#!Z\%*/T,VM!aS\H/%cF*je$,4/17/1994,57,Jbkshoriy,Yuiwjvcsgcs,15:42:38
&!Cw,I\*!q\\#!U*!GONNm*f@vNTS&$G\RL,11/23/1954,0,Efevrbx,Foweshtcaqykuv,20:27:49
pBe/#eY$n%#Si@Sx$ihToZv@VPY*kX,*aSyo/b@iQ&TK%^x\$Oy&SLBw*,1/1/1987,110,Mewibydknw,Ekdikqf,6:12:32
&AQyk^aMvkGaX/Kf\oQMa#\,wq&^zb@lZZ@MIB*vKPFEt$d\,1/14/1961,56,Dolrtpdqlb,Cebheritlokmdd,20:9:55
!nCJqhi&Tx%oZG@^*Ii&,bvrNPq%FL!yV%gU,7/9/1985,98,Yehfkodnfoyopyf,Nnhebblkkttnqa,7:18:34
&Iq\\$@#Z%,/N%&$gvTe^A*dI%DQ&S!,6/10/1980,119,Ehkdoafxeb,Njqteovgbwywli,11:16:24
@jFDBz,g\#m!acE%P#^qnIj*%sZZ,11/13/1951,119,Zfewpuqrilj,Vbmihjk,4:14:26
P%\@WbYB##YLC,\zr@%IMV#*P/smEY%M%B\vSLN*M,11/11/1953,34,Udiyis,Lrtuth,21:14:42
&CBZL@$/mD^z,ZjSJjS%w^Lql\$f!\$,7/11/1974,66,Vjujtx,Hgjavqlc,21:48:7
ToOckgPHXt&C/t^D&$AMUz*&%,%gR&zCXG/\\sIYqlEwHr*!Fcg*v$pg,8/5/1983,13,Wdtkwplpy,Emsxnkflsmbaqis,15:28:16
tV$&%uI&&Q@FzRQLR!MnM,!H@RI%&a&pGE#Sm%UV!vJ$&DLAw#Y,9/3/1978,112,Dvaktxwaunol,Rhcgslodvg,8:56:22
bunvUOR,!P*SrcXbj$\njjQT^Q&Oxlg,4/15/1954,2,Eoxrfd,Tpjujsdt,13:31:45
\A%$zRu@i\\,ggNkv@M/Gusmwgx$TGlJe/P,5/8/1999,140,Tdgyjtsewim,Vjxivsth,6:13:7
fI!B*VY!s#PQ,K$\&*rXXhtAWkX%&!*WnA!VsNXr,1/22/1979,80,Gaevhxmpyvr,Atrbiu,23:15:37
$c*@%M*NT,$XAR@/&h!$b!xV@Lk!g$k,7/27/1990,76,Wnccaftplmx,Btbtlkj,10:55:30
Ihyf/\uY#DGgUtZR,rPzMafS#Gb&^W*L@/^ipra\z,6/6/1979,70,Nemyjbcbtgpabns,Zmmgitcmln,6:36:56
iR&/!/^sq%F*//Mmg#oy*\qv@^$u,xFuLROpp#at,5/8/1989,78,Jiutcub,Mcioeyvwspajkp,23:20:7
*z^&cE%LMl#@#TH^QC@$^Lk&T,tl/ood\$CfS,8/17/1995,123,Delnhkowsab,Cjjuvrirqsdb,9:12:52
e/@M&\L%DTM@mWh^x^G&J\#@nZ,jqF$QWX\UTPAV%Pg#WMa#\,4/14/1987,100,Ljrbvneiiypbr,Xljpahi,10:22:50
NCp*ovP#mu!/WNM,S%%Mn*!Z@ZhfCt%X$$s,4/18/1963,11,Zhvobqg,Tdhysoqkaeu,10:46:17
@E!BMPv%d%Tw%uuKEEHh$j@Ha$F,E/LOVna%F,10/13/1988,16,Cwdcqjt,Lscirccl,9:20:38
z$kzM&$$pmN/,U$Zbu^^&*!PTH,3/4/1966,0,Jkpivbgci,Lklykgk,11:42:21
c%P&#@%io/&DVLSWSTMQ\,/SF&WEXj^SN#V,1/29/1989,0,Eyqukjuxlghoq,Lmvkksacfdsl,17:36:55
Udcs%ZeYB*V//&d,\Up^iAX$b\,5/6/1996,29,Cdpdgn,Wqvthxegyuar,15:7:33
^v#Xpj^Ii^hK*,Z%WFPc!wi\!N@B$l\#z*MTUk#!Wm^P,3/20/1994,0,Tugdgaoedxpbrlu,Xtoevsmelgao,19:38:19
!iRys&^E,Gqcg^$BQS$UvrGKE#L\z!/a,7/31/1969,0,Qvcqyof,Ytwtvqnyhgefn,16:15:52
Ti/A,zTeO&xUC,7/13/1997,160,Lecdqvppucu,Svhvbb,10:50:9
&&xv,kX*lz#&pDN,2/6/1959,1,Wtwscbtjnxgkv,Fiemxh,15:5:10
%p#!u^/I@FHAdcuw&h^SVL%KGYT%,!rc!@T#uu&&&c#YLE@e,5/9/1989,0,Qtfuvchiaflq,Jtldlducblk,6:35:25
/OnpaZ^V*e@YqYtBP&QebLyD/^z^,YSzE/JF@dk\Id\L^lBKffCZ^%&yN,8/13/1967,24,Kxhrcsntbbgfxwe,Mjxhkukw,3:41:22
&/heBriGw/L/cUX$g^QUuh,WCOUdcdY#DiU,8/23/1957,59,Kcrlyn,Gijpbrvnvpx,9:12:42
Eh/IHdxFd!*%cP\hS,&ZU\hdKfGl!#mF%!!$c*lNCQ,3/4/1961,0,Wuqfuycqfivp,Hepbxvo,23:43:39
#\THt#FA^Yv\BWm$AhG*%hSaEIc@,tQ\yZR#cmFF^#k#,9/2/1966,57,Xkflrucnwsjycvj,Rcoyybpgie,5:4:26
Lsr\J*HDX/%$ezS/U%W#,*%c#%ebOB,10/29/1997,105,Fysmdiygmmke,Drceeiiuhy,4:49:52
%#Wh!NAyAW@!&K@q!Ppn/,fk\$%FENcb*ml#G#b$sd**ykK,12/20/1968,0,Bnfrvkt,Jxlyapltkv,14:5:30
S^Pd&!/I/uy@BT##^J/aA\,^AHT/nBElCuYQ!&@**\DQFznK$$&H^,11/26/1999,111,Zmjtnfmpo,Osbbdnatvo,13:46:49
*%L\eCmMW#f#%me!oV,*dCj!RXk^R$$aTcN%ooXed,9/11/1974,66,Vohcyyby,Upqkkjpv,17:7:17
$NIk,\/p*\*Q*tiMu,4/15/1953,37,Etomlvsxeojqtiy,Mtwklawbldf,11:46:42
^*^\!$Me/d!@/WW!,nt^!A!B#l\/rZQdVLLTOmG^jV#ks,7/22/1994,95,Oiokbacxrmoni,Znfskbeiuqjvn,15:54:38
RXEvO&Pu!ZUP$ZMt#G$^y*\kRur*%,@\EQtf^Vi/wUH\%ga#uT,6/20/1982,92,Zgkgvhywfac,Qjjdbsfytedykhv,16:28:32
O^Se^vX/!FiojtHwE\DXr/NNf,u*%!lDr/,3/10/1998,45,Iywrdyrtssitj,Moyrkg,6:40:24
s*AEitzHgJx%D!,b^ardiu@hqhKhi%%b#J#%^,6/9/1994,20,Oadxplcewlt,Pkojbrakfjenqa,12:22:7
yxQedzY%Dqn$U^lV$lW,zE#$^*m*/c^!%h^$eEH@m!c,12/25/1978,32,Vqsxyg,Shmhxg,17:5:52
^V/KT#ire#$&V@#*v%lfIul&#,GXI^/a$@!hR^&p$,1/26/1998,0,Rpgbfsd,Rsppvx,8:47:45
#YO#x/py/fZP!QmHEf@,HhIeP$x/jqmCrZBw#y%F*fdfA%,7/9/1983,0,Zemxeehulqqvvte,Bjdvnvsvsn,6:7:15
@e@liwDIv,kwx^m!x%Uhd/MJC/V*cPD$BzcF^,9/9/1975,0,Thptfcjebfrracb,Kokxjvoktgmf,23:16:27
HXT$%qDEvU\*ZE&@aQ@kV^/s/aN,u$DGZaMc!/v,5/22/1962,131,Uxummfjnrydmed,Ycdejchap,18:44:51
DcG%&x&uzO#&tJ!gFRNa#,jaRnpB@$Q$$YN*Gg@zZQlNima,7/6/1985,142,Wpungofhfwjdyr,Dasplv,16:6:4
/qEK#p\^%l&#RM/mlG,v#&RDvGiM&MJzNzpr,3/18/1953,9,Nufhvbc,Clhfcpyxqmr,1:45:57
LuNvuN&F@EK!o/J$@XAdULL/,gQ$z@/%$V\$!^^@mo%g,11/26/1977,46,Tjtktp,Dphldbrt,23:52:48
s/QEfojTxX/#qCC@,iNZ^zsQnYHb*\iB&X#\^G$ahDn#!mr,3/21/1950,58,Glifwlifpwyswbh,Isalwmlgvq,7:47:54
ACt*&!Fp$EB!ycW#ZnaRo&yqsxdHI,KApElA#yT&EE%^^n!,3/5/1973,105,Pekkxrkpfqet,Teaomydkn,1:17:13
Lbuvq\MUd%Dc$@Nh!Yn,\SUc^FXTF/^zV@,8/31/1950,10,Cfybasyfroebos,Oibuftupil,11:0:13
^sR$w/MMOiBydtzi,O@drxz%Y\QJO\!txW^jyy,2/6/1992,104,Ecwrwcvg,Mdgtdxqlpw,12:12:12
a&Rr@vnl/gF!a&/sJZ!,nyg*FuVs,2/14/1987,154,Ffhgdwvausfarv,Tgbbagkogoryl,2:21:0
i^HEAZ#^Z&je*umU#!%NY,bLs@jDkDaV#!%e,6/29/1956,47,Qphvfboyep,Fagoqmfywx,6:19:39
yCiS,uZ\$!/IX#hpWkDRJA&%Szc*j!*qFV*,7/7/1972,20,Tymbntxpi,Ivsbeimvixcnul,0:8:6
@Gm!vk$@WB^M^,j&J#$h\KzW,2/24/1964,80,Qilpxwshjjea,Njdgwrcmco,13:4:41
/!ndq@@d!Q@&\U\,%y\Vmxf\oXEKa^w,11/11/1960,58,Ohbsrhktxbtixy,Kcpfsnfhfj,8:47:32
&P@I!&J@*@W*aG&nJh@OxqP,*XZ^*&&CQCS^JJs\@*%QNjV,4/3/1985,57,Nnhofbblkmgcsug,Npjofsns,3:20:34
As%F/#AV#P@$Q%*IV/mOV&NamSbeNZ,dgk@pBjp\rB&&W*ztpfguc,6/27/1956,91,Mvicbtckfodixv,Qeicalin,6:32:6
AD\t#!$X%wBw&uxRRb!*iO#bMmjA&,Ht#/U*mJ@v%\VVZne#u*VhZk^MY,10/12/1972,84,Eychfkpy,Sobjhsdmchu,11:10:54
^TF&%@!D\%u$F,FNMUsEWyn@,5/21/1961,6,Mmgexkso,Jqljoehcoyai,20:13:12
tzC!Q\&&o,AP/#ICr/Bmw&ne*ugtp,12/30/1992,0,Txxhbjucdalfclx,Lovkmqjawgc,20:40:39
%^QSv\,M$\WjM#d*RWcJJf$aaU,11/23/1974,38,Vonjcfpeiwyn,Rsbhopq,9:44:38
GJXRNRRu#qPzpen%!#,qqw%@eQo#^^bkdfiD\R,11/17/1981,80,Zwcvmmiy,Ysknwlkjp,19:32:11
up/B#!v%,@h%\!nr&Lkx!*AXn&/neekKBO#&!!,3/13/1991,128,Dvaovnbvwgcwdpl,Vwxgxtvydb,16:0:39
Kn^*$q%*k$q$Qq#HC@\hOekpdCCv,j$!\k%ej\YP$^*p,8/7/1980,0,Sgdidviy,Nuyhgkg,5:14:22
l@TO@$!CqNbH%csI/A%MQVq/,k\jo^J!Ek%#tds#IJp,1/7/1951,37,Gkkuxuo,Odtsaj,6:2:57
zNj&LyKx*!#XPQc/g#C%uvzWc&,&JA^eqzL&m&*,3/11/1993,3,Qedrcyb,Kispgkqk,13:17:44
oUiqi$tqdVnJTUq#,w&@%Xo$a*%/^ztgr\Eah,10/19/1974,15,Lcdftvnkoox,Slybclbo,15:2:45
&^YwkDbSKFO$QT^RoTx%bf$#,Rj$*u@@xHjJadaMm,1/27/1987,0,Iahhbnsitfy,Ixrceiqwmfeccjj,16:34:31
